ip,port,type,category,country,org
162.19.253.202,8443,http,Datacenter,DE,"AS16276 OVH SAS"
150.241.100.120,1080,socks5,Residential,NL,"AS207957 SERV.HOST GROUP LTD"
58.19.55.4,15337,socks5,Unknown,CN,"AS4134 CHINANET-BACKBONE"
58.19.55.7,15129,socks5,Unknown,CN,"AS4134 CHINANET-BACKBONE"
89.110.66.128,4143,socks5,Datacenter,NL,"AS216071 SERVERS TECH FZCO"
161.35.82.57,1080,socks4,Datacenter,NL,"AS14061 DigitalOcean, LLC"
5.9.156.34,5213,socks4,Datacenter,US,"AS212317 Hetzner Online GmbH"
58.19.55.88,15198,socks5,Unknown,CN,"AS134419 Beihai"
203.25.78.209,58367,socks5,Unknown,MY,"AS56286 IX Telecom"
58.19.55.4,15389,socks5,Mobile,CN,"AS9808 China Mobile Communications Group Co., Ltd."
58.19.55.4,15142,socks5,Mobile,CN,"AS132525 HeiLongJiang Mobile Communication Company Limited"
5.42.97.252,1080,socks4,Datacenter,RO,"AS39798 MivoCloud SRL"
58.19.55.88,15132,socks5,Mobile,CN,"AS9808 China Mobile Communications Group Co., Ltd."
5.53.122.170,1080,socks4,Datacenter,RU,"AS50340 JSC Selectel"
139.59.246.166,6868,socks4,Datacenter,SG,"AS14061 DigitalOcean, LLC"
165.22.110.253,1080,socks4,Datacenter,SG,"AS14061 DigitalOcean, LLC"
209.38.249.114,1081,socks5,Datacenter,DE,"AS14061 DigitalOcean, LLC"
129.150.55.165,1080,socks5,Unknown,SG,"AS31898 Oracle Corporation"
206.123.156.232,10609,socks5,Datacenter,US,"AS14618 Amazon.com, Inc."
58.19.55.4,15295,socks5,Unknown,CN,"AS4134 CHINANET-BACKBONE"
